Inventory_ID,Segment
inv_generatedlanguage,oʊ
inv_generatedlanguage,i
inv_generatedlanguage,ɪ
inv_generatedlanguage,eɪ
inv_generatedlanguage,o
inv_generatedlanguage,e
inv_generatedlanguage,ʌ
inv_generatedlanguage,œ
inv_generatedlanguage,h
inv_generatedlanguage,l
inv_generatedlanguage,g
inv_generatedlanguage,ð
inv_generatedlanguage,k
inv_generatedlanguage,f
inv_generatedlanguage,d
inv_generatedlanguage,j
inv_generatedlanguage,n
inv_generatedlanguage,tɕ
inv_generatedlanguage,p
inv_generatedlanguage,tɕʰ
inv_generatedlanguage,ŋ
inv_generatedlanguage,pʰ
inv_generatedlanguage,tʰ
inv_generatedlanguage,ʔ
inv_generatedlanguage,ʃ
inv_generatedlanguage,χ
